,mean,mean_se,mean_ci_lower,mean_ci_upper
4773,10.332001427262679,3.5875099596785462,3.3006111121139865,17.36339174241137
4774,10.199224436506505,4.611438667403443,1.1609707314803757,19.237478141532634
4775,10.21752278296583,4.751077485124103,0.9055820243634525,19.529463541568205
4776,10.511910740581376,6.606558257456772,-2.436705505799596,23.46052698696235
4777,10.352458264078694,7.863427153644471,-5.05957575211878,25.764492280276166
4778,10.317450130128092,8.141922978004992,-5.640425671660795,26.27532593191698
4779,10.59877891230201,9.653056969780769,-8.320865089181648,29.518422913785667
4780,10.441042518640383,10.85649373773945,-10.837294205713576,31.719379242994343
4781,10.375388311359641,11.173371731067718,-11.524017867411045,32.274794490130326
4782,10.645650246853824,12.457100640420874,-13.769818360161933,35.06111885386958
4783,10.493878000574165,13.579851821863267,-16.122142485668476,37.1098984868168
4784,10.406022698094567,13.893967906490644,-16.825654000982468,37.6376993971716
4785,10.669876414536404,14.995268263967702,-18.72030932135675,40.06006215042956
4786,10.527819738652601,16.03993637807036,-20.909877876679147,41.96551735398435
4787,10.42150619047418,16.339670556099883,-21.603659618731147,42.44667199967951
4788,10.680791550489827,17.294137171725428,-23.2150944497874,44.57667755076706
4789,10.55111324826631,18.269638170079244,-25.256719575667262,46.358946072199885
4790,10.428874169717647,18.552989946420134,-25.934317930799523,46.79206627023481
4791,10.684024229165365,19.38889175385681,-27.317505308539623,48.685553766870356
4792,10.568287806746966,20.305504704748344,-29.229770102468414,50.366345715962346
4793,10.431968049038115,20.57386913172357,-29.892074471780436,50.75601056985667
4794,10.682786500739931,21.312954065503185,-31.089835871802833,52.45540887328269
4795,10.581905580503989,22.179963975306762,-32.890024989493114,54.053836150501084
4796,10.432932499731523,22.435807840742203,-33.54044283218455,54.406307831647595
4797,10.678889514120048,23.0947989979642,-34.58608475208152,55.94386378032161
4798,10.593395723035945,23.919840503751278,-36.288630180258984,57.47542162633088
4799,10.432973252047564,24.165756262180373,-36.93103868099925,57.79698518509437
4800,10.673365854765443,24.75762367800584,-37.85068489692207,59.197416606452954
4801,10.603546333587257,25.54672820097813,-39.4671208631636,60.67421353033812
4802,10.432765131095046,25.78508957991419,-40.10508178367579,60.970612045865884
